date,pdvmily,rgdppc,govpc,tbill,totdefgdp,feddebtgdp,tfp_adj
1952-01-01,-0.142662846560114,-4.16798379887704,-5.6084821168435,1.5667,-2.02662565814468,59.4607281821241,2.13152858399968
1952-04-01,-1.29860332960236,-4.16987607236716,-5.56900633755397,1.6466999999999998,-3.01597050458321,59.4339875582086,2.13849028795688
1952-07-01,0.221270995471827,-4.16683982602361,-5.5621100334398,1.7833,-3.6675899865208703,58.539137292857,2.14950536873218
1952-10-01,0.0,-4.13899077404186,-5.54237158194719,1.8932999999999998,-2.9638642730197997,56.7210180971349,2.16250338674787
1953-01-01,-2.02946919283917,-4.12470713541687,-5.52260182677808,1.9800000000000002,-2.7543212571945404,55.9111513005195,2.17239120582524
1953-04-01,-1.17727104598251,-4.12061429793177,-5.50555049429162,2.1533,-3.41603914426881,55.6763810352327,2.17134882462379
1953-07-01,-3.08845630796402,-4.1306194161273,-5.52739358402275,1.9567,-3.06369942747525,56.137441151057196,2.16406143880203
1953-10-01,-0.260980986301908,-4.15067214859695,-5.53317624811307,1.4733,-4.37220797166162,57.3034333945024,2.17539901083588
1954-01-01,0.0,-4.15960597272421,-5.5603187058278,1.06,-4.430918712386419,57.7990543642114,2.21065595996421
1954-04-01,0.0,-4.16260043146513,-5.58984505560265,0.79,-3.82709527965112,58.0528979920051,2.22049056292563
1954-07-01,-1.2621143891881899,-4.15578552499274,-5.61075082394642,0.8833300000000001,-3.14105481217258,57.624003991948705,2.22823758399225
1954-10-01,0.0,-4.14140010579366,-5.61629525719972,1.02,-2.64771701262516,56.55363676808079,2.21729481344506
1955-01-01,1.20478092149921,-4.11752925613623,-5.61885871593065,1.2233,-1.57095351991785,54.8009250721731,2.2203927405446
1955-04-01,0.0,-4.10540447077866,-5.62054182826397,1.4833,-1.04205131022795,53.6656180832766,2.22282292019126
1955-07-01,0.0,-4.09647078085504,-5.61485956846835,1.8567,-0.8818265269037849,52.4248648581665,2.21739659930518
1955-10-01,0.0,-4.09535096012172,-5.63804014775365,2.3367,-0.11421226757438101,51.360091763069704,2.21581876047836
1956-01-01,0.206684236506271,-4.10359764894901,-5.63549500782428,2.3266999999999998,-0.11351114021032299,50.753895588820896,2.19415513408332
1956-04-01,0.135701621560452,-4.09949318391713,-5.61048870248891,2.5667,-0.492411466754012,49.7336259607361,2.19886602111676
1956-07-01,0.6639219503839779,-4.10478935907449,-5.62738585684018,2.5833,-0.61947862336652,48.869753391709295,2.19426848471819
1956-10-01,0.10917764931834999,-4.09364502512252,-5.6056220194332,3.0332999999999997,-0.672043206561449,47.6546362010121,2.21022867534322
1957-01-01,0.0,-4.09160829446561,-5.58493606752933,3.0967000000000002,-0.9562985889336171,46.5871270628091,2.21825426711419
1957-04-01,0.503960210985186,-4.09791937414597,-5.59133050864731,3.1399999999999997,-1.18435838805906,46.3803370110762,2.22795672777494
1957-07-01,0.0,-4.09263929462134,-5.58678099574966,3.3533,-1.37412913264595,45.857347210134705,2.234054707561
1957-10-01,2.1090741895599603,-4.10758909557524,-5.56818627787697,3.3099999999999996,-2.64894032800239,46.6461573092471,2.24185381541518
1958-01-01,0.140490726622747,-4.13774410984111,-5.58469401788909,1.7567,-3.3734410997739097,47.8179938169693,2.25376411529752
1958-04-01,0.0,-4.13501032253119,-5.55743878081513,0.9566699999999999,-4.52643083612566,47.8659708820068,2.28331386960848
1958-07-01,0.0,-4.11637295269214,-5.55467403709021,1.68,-3.8835919810729798,46.9948534084268,2.28663604196437
1958-10-01,0.0,-4.0978686695429,-5.53917860655676,2.69,-3.65718083289751,46.1671916509783,2.26864032801744
1959-01-01,0.285427237641378,-4.0835528172092,-5.55273601638671,2.7733,-2.7394448241902,45.6032249088858,2.27200186995601
1959-04-01,0.0,-4.06340736427232,-5.5462431179132,3.0,-2.00288010343865,44.7691390740048,2.26921077540213
1959-07-01,0.0,-4.06947968719702,-5.54655925492552,3.54,-2.81809108915066,44.8916578978018,2.2803424626046
1959-10-01,0.0,-4.07007056078967,-5.5625527494522,4.2299999999999995,-2.64486978593818,44.6602510412918,2.2893883416992
1960-01-01,0.0,-4.05181835779401,-5.58397243819311,3.8732999999999995,-0.5705415191944719,43.5654926431163,2.27763852864246
1960-04-01,0.518668301662441,-4.05915987637381,-5.57744123298878,2.9933,-1.16085422534126,43.633357089006,2.27890142612792
1960-07-01,0.0,-4.06068177771309,-5.55198403211529,2.36,-1.68488965157764,43.3620411885109,2.28124233687849
1960-10-01,0.0,-4.07749508800448,-5.54354193793169,2.3067,-2.36565535639448,43.7757870295109,2.29591190763105
1961-01-01,1.32787430589433,-4.07469406853562,-5.53459715062681,2.35,-2.6925900000130802,43.4696125667417,2.30727174491297
1961-04-01,5.30125469077362,-4.06014723505859,-5.53224973931058,2.3033,-2.87027457346155,42.767073205361,2.32251390665947
1961-07-01,0.589618473584251,-4.04765950815116,-5.51801586889706,2.3033,-2.63985715965217,42.2985896605362,2.32559163063818
1961-10-01,-0.16637960179054198,-4.03199149975429,-5.49849111122368,2.46,-2.28668549090233,41.7509914178544,2.32494593627895
1962-01-01,0.328025351945534,-4.01776225539879,-5.48083120529005,2.7233,-2.77224720993312,41.2488374875351,2.32642419846133
1962-04-01,0.0,-4.0105275645542,-5.47653263442745,2.7167,-2.72168926885494,41.157260858518704,2.3386382402107
1962-07-01,0.0,-4.00482555811609,-5.45682062392161,2.8400000000000003,-2.59202788292297,41.016003140776604,2.34966524634558
1962-10-01,0.0,-4.00506453580943,-5.45242535634184,2.8133,-2.6748381281575697,41.0433447344572,2.34834665646094
1963-01-01,0.0,-3.99738569520216,-5.45884010407942,2.9067,-2.10379063292745,40.624823441177796,2.35572503249138
1963-04-01,0.0,-3.98758986221404,-5.46087814606788,2.94,-1.74093738465944,40.1998110554326,2.35536302453865
1963-07-01,-1.08826552044498,-3.9719634945621,-5.42654456488043,3.2933,-2.00008386398155,39.5053773998942,2.35909141257796
1963-10-01,0.0,-3.96882128643238,-5.43134581300638,3.4966999999999997,-1.90878977841547,39.0101199452956,2.36616769769193
1964-01-01,-0.684599356896591,-3.95060260965057,-5.42719728774186,3.53,-2.38397066519329,38.1575811702005,2.38242898307571
1964-04-01,0.0,-3.94188688990321,-5.42104155348058,3.4767,-3.01129536008212,37.721968162905,2.38545368139334
1964-07-01,0.0,-3.93193025377371,-5.41771240834654,3.4966999999999997,-2.46821541882105,37.190261626331,2.39030087034682
1964-10-01,0.0,-3.93207872559313,-5.42530466970126,3.6832999999999996,-2.03313217389972,37.0316841828926,2.39034352749159
1965-01-01,0.310739050847357,-3.91052452945923,-5.42743322874978,3.8899999999999997,-1.3346849069789402,36.1047760054961,2.40136338829901
1965-04-01,0.19509053121921802,-3.89959379989379,-5.41693844585571,3.8732999999999995,-1.35180791063394,35.6112708666834,2.40399195269823
1965-07-01,1.9257200033550799,-3.88274837228205,-5.38150937085455,3.8667,-2.37269741246363,34.9098969223998,2.40884522804866
1965-10-01,0.0,-3.86282989221266,-5.35704274271104,4.1667000000000005,-2.34126568548732,34.0024990592316,2.41927325550437
1966-01-01,0.0,-3.8409745298263,-5.34099715537854,4.61,-1.8813247197508098,33.052141134095805,2.43340185763978
1966-04-01,0.131046919844996,-3.83942606193752,-5.32564507793237,4.5866999999999996,-1.9079347238122097,32.6702512450192,2.43648339106724
1966-07-01,1.41484903782274,-3.8352997219616,-5.29647395974626,5.0432999999999995,-2.38786075105929,32.072568041408,2.44411454175119
1966-10-01,2.7554998218544,-3.8299310337445,-5.28575641154407,5.21,-2.6351163830772,31.512206956253003,2.44508613748436
