iso,year,log_rgdp_pc,log_gov_pc,log_tfp,tbill,def_gdp,debt_gdp,nx_gdp,mil_delta
ITA,1976,-4.332344118299329,-5.647745944103608,2.1735279614073293,15.676666796207428,-7.027328052575642,54.14944390849536,-0.9164933364511129,0.0626648433355168
ITA,1977,-4.302002700689929,-5.5635819791360275,2.194123575023371,14.034999907016754,-8.241215507336179,53.19514184472184,1.2099674851684283,-0.0110534076200548
ITA,1978,-4.256865702572567,-5.387815010503129,2.2126252005639864,11.989166587591171,-10.951039391347853,57.248039511795014,2.3851109872759264,-0.005795637928503794
ITA,1979,-4.194157675171279,-5.305913695724121,2.2513623871786974,12.511666119098663,-11.22963159494254,56.09292676279145,1.3340513277332005,-0.11031622954995601
ITA,1980,-4.165719253714334,-5.181844587747738,2.2604377538600446,15.915000438690186,-12.555904781256448,54.01107501731375,-2.4552463031842553,0.05746926894600901
ITA,1981,-4.1494085093953235,-5.121981964118576,2.2525288949145583,19.702500104904175,-13.941439548250868,56.27516593080703,-1.7706883917250529,0.1842603971073733
ITA,1982,-4.135832449762553,-5.119336153478742,2.2381065032647114,19.43766623735428,-10.736796772816176,60.77468742769281,-1.0742133984329825,0.011128516777354935
ITA,1983,-4.121515552424146,-5.039156452620969,2.236691996475156,17.89480894804001,-11.676531761320353,66.78356488158163,0.7105052811149103,-0.007893646314006464
ITA,1984,-4.091697086718877,-5.013623352294253,2.262434866683332,15.367250144481659,-12.228190374040466,72.07357626396069,-0.20986433724431686,-0.0722388534401055
ITA,1985,-4.064923814873193,-4.926208587953575,2.274731312912836,13.711674511432648,-14.965253688412005,77.84038168623731,-0.1938038388155201,0.04077372194031903
ITA,1986,-4.020749642558224,-4.842722603461914,2.285479507046953,11.404166370630264,-15.915232225852007,81.8838524643858,1.4821401345371663,0.08321100189747055
ITA,1987,-3.977155980989756,-4.808465183455297,2.298836253250895,10.72937473654747,-15.43970230829291,85.73021670651578,0.6122079709827026,0.012503815240698657
ITA,1988,-3.9215843193267075,-4.744672462939159,2.3215207475214004,11.186400055885315,-15.585778163470506,87.38156645994803,0.23722280412662478,-0.04643013934947948
ITA,1989,-3.888620627308765,-4.815286337165847,2.3457571781734234,12.579633295536041,-10.46463497399686,89.7711133404574,0.18134290709930706,-0.1456289066361609
ITA,1990,-3.850416286182117,-4.775216729582026,2.348114299782418,12.378616631031036,-9.750314997886846,91.580877944842,0.3711675069230908,-0.02194572950365825
ITA,1991,-3.823404319734546,-4.766783539729548,2.342730754984745,12.536565959453583,-8.390302710584809,94.79407041566733,0.2626154407615068,-0.10687570028066751
ITA,1992,-3.823703005622703,-4.738467257253114,2.3452262661991026,14.317916333675385,-7.336030527349811,101.41493780309536,0.06777416356067098,0.03479098983783069
ITA,1993,-3.841199172575666,-4.774437456665508,2.347090006894439,10.580574721097946,-9.59970165056588,111.18033315474776,3.188411431501896,-0.07302521376168802
